contact_id,patient_id,full_name,relationship,phone
134,134,Νίκος Δημητρίου,Τέκνο,6970000134
135,135,Ελένη Κωνσταντίνου,Αδελφός/ή,6970000135
136,136,Κώστας Αθανασίου,Σύζυγος,6970000136
137,137,Άννα Παναγιώτου,Γονέας,6970000137
138,138,Πέτρος Αλεξίου,Τέκνο,6970000138
139,139,Σοφία Μαρίνου,Αδελφός/ή,6970000139
140,140,Δημήτρης Παπαδόπουλος,Σύζυγος,6970000140
141,141,Ιωάννα Γεωργίου,Γονέας,6970000141
142,142,Αλέξανδρος Νικολάου,Τέκνο,6970000142
143,143,Κατερίνα Ιωάννου,Αδελφός/ή,6970000143
144,144,Γιώργος Δημητρίου,Σύζυγος,6970000144
145,145,Μαρία Κωνσταντίνου,Γονέας,6970000145
146,146,Νίκος Αθανασίου,Τέκνο,6970000146
147,147,Ελένη Παναγιώτου,Αδελφός/ή,6970000147
148,148,Κώστας Αλεξίου,Σύζυγος,6970000148
149,149,Άννα Μαρίνου,Γονέας,6970000149
150,150,Πέτρος Παπαδόπουλος,Τέκνο,6970000150
151,151,Σοφία Γεωργίου,Αδελφός/ή,6970000151
152,152,Δημήτρης Νικολάου,Σύζυγος,6970000152
153,153,Ιωάννα Ιωάννου,Γονέας,6970000153
154,154,Αλέξανδρος Δημητρίου,Τέκνο,6970000154
155,155,Κατερίνα Κωνσταντίνου,Αδελφός/ή,6970000155
156,156,Γιώργος Αθανασίου,Σύζυγος,6970000156
157,157,Μαρία Παναγιώτου,Γονέας,6970000157
158,158,Νίκος Αλεξίου,Τέκνο,6970000158
159,159,Ελένη Μαρίνου,Αδελφός/ή,6970000159
160,160,Κώστας Παπαδόπουλος,Σύζυγος,6970000160
161,161,Άννα Γεωργίου,Γονέας,6970000161
162,162,Πέτρος Νικολάου,Τέκνο,6970000162
163,163,Σοφία Ιωάννου,Αδελφός/ή,6970000163
164,164,Δημήτρης Δημητρίου,Σύζυγος,6970000164
165,165,Ιωάννα Κωνσταντίνου,Γονέας,6970000165
166,166,Αλέξανδρος Αθανασίου,Τέκνο,6970000166
167,167,Κατερίνα Παναγιώτου,Αδελφός/ή,6970000167
168,168,Γιώργος Αλεξίου,Σύζυγος,6970000168
169,169,Μαρία Μαρίνου,Γονέας,6970000169
170,170,Νίκος Παπαδόπουλος,Τέκνο,6970000170
171,171,Ελένη Γεωργίου,Αδελφός/ή,6970000171
172,172,Κώστας Νικολάου,Σύζυγος,6970000172
173,173,Άννα Ιωάννου,Γονέας,6970000173
174,174,Πέτρος Δημητρίου,Τέκνο,6970000174
175,175,Σοφία Κωνσταντίνου,Αδελφός/ή,6970000175
176,176,Δημήτρης Αθανασίου,Σύζυγος,6970000176
177,177,Ιωάννα Παναγιώτου,Γονέας,6970000177
178,178,Αλέξανδρος Αλεξίου,Τέκνο,6970000178
179,179,Κατερίνα Μαρίνου,Αδελφός/ή,6970000179
180,180,Γιώργος Παπαδόπουλος,Σύζυγος,6970000180
181,181,Μαρία Γεωργίου,Γονέας,6970000181
182,182,Νίκος Νικολάου,Τέκνο,6970000182
183,183,Ελένη Ιωάννου,Αδελφός/ή,6970000183
184,184,Κώστας Δημητρίου,Σύζυγος,6970000184
185,185,Άννα Κωνσταντίνου,Γονέας,6970000185
186,186,Πέτρος Αθανασίου,Τέκνο,6970000186
187,187,Σοφία Παναγιώτου,Αδελφός/ή,6970000187
188,188,Δημήτρης Αλεξίου,Σύζυγος,6970000188
189,189,Ιωάννα Μαρίνου,Γονέας,6970000189
190,190,Αλέξανδρος Παπαδόπουλος,Τέκνο,6970000190
191,191,Κατερίνα Γεωργίου,Αδελφός/ή,6970000191
192,192,Γιώργος Νικολάου,Σύζυγος,6970000192
193,193,Μαρία Ιωάννου,Γονέας,6970000193
194,194,Νίκος Δημητρίου,Τέκνο,6970000194
195,195,Ελένη Κωνσταντίνου,Αδελφός/ή,6970000195
196,196,Κώστας Αθανασίου,Σύζυγος,6970000196
197,197,Άννα Παναγιώτου,Γονέας,6970000197
198,198,Πέτρος Αλεξίου,Τέκνο,6970000198
199,199,Σοφία Μαρίνου,Αδελφός/ή,6970000199
200,200,Δημήτρης Παπαδόπουλος,Σύζυγος,6970000200
