staff_id	first_name	last_name	staff_type	subclass
297	Ιωάννα	Παναγιώτου	ADMIN	Λογιστής
287	Κατερίνα	Παναγιώτου	ADMIN	Διοικητικός Υπεύθυνος
310	Αλέξανδρος	Παπαδόπουλος	ADMIN	Υποδοχή
300	Γιώργος	Παπαδόπουλος	ADMIN	Γραμματέας
320	Δημήτρης	Παπαδόπουλος	ADMIN	Γραμματέας
280	Κώστας	Παπαδόπουλος	ADMIN	Γραμματέας
290	Νίκος	Παπαδόπουλος	ADMIN	Υποδοχή
330	Πέτρος	Παπαδόπουλος	ADMIN	Υποδοχή
36	Γιώργος	Αθανασίου	DOCTOR	Ορθοπαιδική
56	Δημήτρης	Αθανασίου	DOCTOR	Πνευμονολογία
16	Κώστας	Αθανασίου	DOCTOR	Καρδιολογία
76	Κώστας	Αθανασίου	DOCTOR	Καρδιολογία
26	Νίκος	Αθανασίου	DOCTOR	Πνευμονολογία
86	Νίκος	Αθανασίου	DOCTOR	Πνευμονολογία
6	Πέτρος	Αθανασίου	DOCTOR	Ορθοπαιδική
66	Πέτρος	Αθανασίου	DOCTOR	Ορθοπαιδική
58	Αλέξανδρος	Αλεξίου	DOCTOR	Γαστρεντερολογία
8	Δημήτρης	Αλεξίου	DOCTOR	Παιδιατρική
68	Δημήτρης	Αλεξίου	DOCTOR	Παιδιατρική
28	Κώστας	Αλεξίου	DOCTOR	Γαστρεντερολογία
88	Κώστας	Αλεξίου	DOCTOR	Γαστρεντερολογία
38	Νίκος	Αλεξίου	DOCTOR	Παιδιατρική
18	Πέτρος	Αλεξίου	DOCTOR	Εντατικολογία
78	Πέτρος	Αλεξίου	DOCTOR	Εντατικολογία
41	Άννα	Γεωργίου	DOCTOR	Πνευμονολογία
51	Ελένη	Γεωργίου	DOCTOR	Ορθοπαιδική
21	Ιωάννα	Γεωργίου	DOCTOR	Ορθοπαιδική
81	Ιωάννα	Γεωργίου	DOCTOR	Ορθοπαιδική
11	Κατερίνα	Γεωργίου	DOCTOR	Πνευμονολογία
71	Κατερίνα	Γεωργίου	DOCTOR	Πνευμονολογία
61	Μαρία	Γεωργίου	DOCTOR	Καρδιολογία
31	Σοφία	Γεωργίου	DOCTOR	Καρδιολογία
91	Σοφία	Γεωργίου	DOCTOR	Καρδιολογία
34	Αλέξανδρος	Δημητρίου	DOCTOR	Επείγουσα Ιατρική
94	Αλέξανδρος	Δημητρίου	DOCTOR	Επείγουσα Ιατρική
24	Γιώργος	Δημητρίου	DOCTOR	Μαιευτική
84	Γιώργος	Δημητρίου	DOCTOR	Μαιευτική
44	Δημήτρης	Δημητρίου	DOCTOR	ΩΡΛ
4	Κώστας	Δημητρίου	DOCTOR	Επείγουσα Ιατρική
64	Κώστας	Δημητρίου	DOCTOR	Επείγουσα Ιατρική
14	Νίκος	Δημητρίου	DOCTOR	ΩΡΛ
74	Νίκος	Δημητρίου	DOCTOR	ΩΡΛ
54	Πέτρος	Δημητρίου	DOCTOR	Μαιευτική
53	Άννα	Ιωάννου	DOCTOR	Παιδιατρική
63	Ελένη	Ιωάννου	DOCTOR	Εντατικολογία
33	Ιωάννα	Ιωάννου	DOCTOR	Εντατικολογία
93	Ιωάννα	Ιωάννου	DOCTOR	Εντατικολογία
23	Κατερίνα	Ιωάννου	DOCTOR	Παιδιατρική
83	Κατερίνα	Ιωάννου	DOCTOR	Παιδιατρική
13	Μαρία	Ιωάννου	DOCTOR	Γαστρεντερολογία
73	Μαρία	Ιωάννου	DOCTOR	Γαστρεντερολογία
43	Σοφία	Ιωάννου	DOCTOR	Γαστρεντερολογία
5	Άννα	Κωνσταντίνου	DOCTOR	Παθολογία
65	Άννα	Κωνσταντίνου	DOCTOR	Παθολογία
15	Ελένη	Κωνσταντίνου	DOCTOR	Οφθαλμολογία
75	Ελένη	Κωνσταντίνου	DOCTOR	Οφθαλμολογία
45	Ιωάννα	Κωνσταντίνου	DOCTOR	Οφθαλμολογία
35	Κατερίνα	Κωνσταντίνου	DOCTOR	Παθολογία
95	Κατερίνα	Κωνσταντίνου	DOCTOR	Παθολογία
25	Μαρία	Κωνσταντίνου	DOCTOR	Ογκολογία
85	Μαρία	Κωνσταντίνου	DOCTOR	Ογκολογία
55	Σοφία	Κωνσταντίνου	DOCTOR	Ογκολογία
29	Άννα	Μαρίνου	DOCTOR	ΩΡΛ
89	Άννα	Μαρίνου	DOCTOR	ΩΡΛ
39	Ελένη	Μαρίνου	DOCTOR	Μαιευτική
9	Ιωάννα	Μαρίνου	DOCTOR	Μαιευτική
69	Ιωάννα	Μαρίνου	DOCTOR	Μαιευτική
59	Κατερίνα	Μαρίνου	DOCTOR	ΩΡΛ
49	Μαρία	Μαρίνου	DOCTOR	Επείγουσα Ιατρική
19	Σοφία	Μαρίνου	DOCTOR	Επείγουσα Ιατρική
79	Σοφία	Μαρίνου	DOCTOR	Επείγουσα Ιατρική
22	Αλέξανδρος	Νικολάου	DOCTOR	Νευρολογία
82	Αλέξανδρος	Νικολάου	DOCTOR	Νευρολογία
12	Γιώργος	Νικολάου	DOCTOR	Νεφρολογία
72	Γιώργος	Νικολάου	DOCTOR	Νεφρολογία
32	Δημήτρης	Νικολάου	DOCTOR	Χειρουργική
92	Δημήτρης	Νικολάου	DOCTOR	Χειρουργική
52	Κώστας	Νικολάου	DOCTOR	Νευρολογία
62	Νίκος	Νικολάου	DOCTOR	Χειρουργική
42	Πέτρος	Νικολάου	DOCTOR	Νεφρολογία
17	Άννα	Παναγιώτου	DOCTOR	Χειρουργική
77	Άννα	Παναγιώτου	DOCTOR	Χειρουργική
27	Ελένη	Παναγιώτου	DOCTOR	Νεφρολογία
87	Ελένη	Παναγιώτου	DOCTOR	Νεφρολογία
57	Ιωάννα	Παναγιώτου	DOCTOR	Νεφρολογία
37	Μαρία	Παναγιώτου	DOCTOR	Νευρολογία
7	Σοφία	Παναγιώτου	DOCTOR	Νευρολογία
67	Σοφία	Παναγιώτου	DOCTOR	Νευρολογία
10	Αλέξανδρος	Παπαδόπουλος	DOCTOR	Ογκολογία
70	Αλέξανδρος	Παπαδόπουλος	DOCTOR	Ογκολογία
60	Γιώργος	Παπαδόπουλος	DOCTOR	Οφθαλμολογία
20	Δημήτρης	Παπαδόπουλος	DOCTOR	Παθολογία
80	Δημήτρης	Παπαδόπουλος	DOCTOR	Παθολογία
40	Κώστας	Παπαδόπουλος	DOCTOR	Ογκολογία
50	Νίκος	Παπαδόπουλος	DOCTOR	Παθολογία
30	Πέτρος	Παπαδόπουλος	DOCTOR	Οφθαλμολογία
90	Πέτρος	Παπαδόπουλος	DOCTOR	Οφθαλμολογία
106	Αλέξανδρος	Αθανασίου	NURSE	Νοσηλευτής
166	Αλέξανδρος	Αθανασίου	NURSE	Νοσηλευτής
226	Αλέξανδρος	Αθανασίου	NURSE	Νοσηλευτής
156	Γιώργος	Αθανασίου	NURSE	Βοηθός Νοσηλευτή
216	Γιώργος	Αθανασίου	NURSE	Βοηθός Νοσηλευτή
116	Δημήτρης	Αθανασίου	NURSE	Προϊστάμενος
176	Δημήτρης	Αθανασίου	NURSE	Προϊστάμενος
236	Δημήτρης	Αθανασίου	NURSE	Προϊστάμενος
256	Κώστας	Αθανασίου	NURSE	Νοσηλευτής
136	Κώστας	Αθανασίου	NURSE	Νοσηλευτής
196	Κώστας	Αθανασίου	NURSE	Νοσηλευτής
266	Νίκος	Αθανασίου	NURSE	Προϊστάμενος
146	Νίκος	Αθανασίου	NURSE	Προϊστάμενος
206	Νίκος	Αθανασίου	NURSE	Προϊστάμενος
126	Πέτρος	Αθανασίου	NURSE	Βοηθός Νοσηλευτή
246	Πέτρος	Αθανασίου	NURSE	Βοηθός Νοσηλευτή
118	Αλέξανδρος	Αλεξίου	NURSE	Νοσηλευτής
178	Αλέξανδρος	Αλεξίου	NURSE	Νοσηλευτής
238	Αλέξανδρος	Αλεξίου	NURSE	Νοσηλευτής
108	Γιώργος	Αλεξίου	NURSE	Βοηθός Νοσηλευτή
168	Γιώργος	Αλεξίου	NURSE	Βοηθός Νοσηλευτή
228	Γιώργος	Αλεξίου	NURSE	Βοηθός Νοσηλευτή
128	Δημήτρης	Αλεξίου	NURSE	Προϊστάμενος
248	Δημήτρης	Αλεξίου	NURSE	Προϊστάμενος
268	Κώστας	Αλεξίου	NURSE	Νοσηλευτής
148	Κώστας	Αλεξίου	NURSE	Νοσηλευτής
208	Κώστας	Αλεξίου	NURSE	Νοσηλευτής
158	Νίκος	Αλεξίου	NURSE	Προϊστάμενος
218	Νίκος	Αλεξίου	NURSE	Προϊστάμενος
258	Πέτρος	Αλεξίου	NURSE	Βοηθός Νοσηλευτή
138	Πέτρος	Αλεξίου	NURSE	Βοηθός Νοσηλευτή
198	Πέτρος	Αλεξίου	NURSE	Βοηθός Νοσηλευτή
161	Άννα	Γεωργίου	NURSE	Προϊστάμενος
221	Άννα	Γεωργίου	NURSE	Προϊστάμενος
111	Ελένη	Γεωργίου	NURSE	Βοηθός Νοσηλευτή
171	Ελένη	Γεωργίου	NURSE	Βοηθός Νοσηλευτή
231	Ελένη	Γεωργίου	NURSE	Βοηθός Νοσηλευτή
261	Ιωάννα	Γεωργίου	NURSE	Βοηθός Νοσηλευτή
141	Ιωάννα	Γεωργίου	NURSE	Βοηθός Νοσηλευτή
201	Ιωάννα	Γεωργίου	NURSE	Βοηθός Νοσηλευτή
131	Κατερίνα	Γεωργίου	NURSE	Προϊστάμενος
251	Κατερίνα	Γεωργίου	NURSE	Προϊστάμενος
121	Μαρία	Γεωργίου	NURSE	Νοσηλευτής
181	Μαρία	Γεωργίου	NURSE	Νοσηλευτής
241	Μαρία	Γεωργίου	NURSE	Νοσηλευτής
271	Σοφία	Γεωργίου	NURSE	Νοσηλευτής
151	Σοφία	Γεωργίου	NURSE	Νοσηλευτής
211	Σοφία	Γεωργίου	NURSE	Νοσηλευτής
274	Αλέξανδρος	Δημητρίου	NURSE	Νοσηλευτής
154	Αλέξανδρος	Δημητρίου	NURSE	Νοσηλευτής
214	Αλέξανδρος	Δημητρίου	NURSE	Νοσηλευτής
264	Γιώργος	Δημητρίου	NURSE	Βοηθός Νοσηλευτή
144	Γιώργος	Δημητρίου	NURSE	Βοηθός Νοσηλευτή
204	Γιώργος	Δημητρίου	NURSE	Βοηθός Νοσηλευτή
104	Δημήτρης	Δημητρίου	NURSE	Προϊστάμενος
164	Δημήτρης	Δημητρίου	NURSE	Προϊστάμενος
224	Δημήτρης	Δημητρίου	NURSE	Προϊστάμενος
124	Κώστας	Δημητρίου	NURSE	Νοσηλευτής
184	Κώστας	Δημητρίου	NURSE	Νοσηλευτής
244	Κώστας	Δημητρίου	NURSE	Νοσηλευτής
134	Νίκος	Δημητρίου	NURSE	Προϊστάμενος
194	Νίκος	Δημητρίου	NURSE	Προϊστάμενος
254	Νίκος	Δημητρίου	NURSE	Προϊστάμενος
114	Πέτρος	Δημητρίου	NURSE	Βοηθός Νοσηλευτή
174	Πέτρος	Δημητρίου	NURSE	Βοηθός Νοσηλευτή
234	Πέτρος	Δημητρίου	NURSE	Βοηθός Νοσηλευτή
113	Άννα	Ιωάννου	NURSE	Προϊστάμενος
173	Άννα	Ιωάννου	NURSE	Προϊστάμενος
233	Άννα	Ιωάννου	NURSE	Προϊστάμενος
123	Ελένη	Ιωάννου	NURSE	Βοηθός Νοσηλευτή
183	Ελένη	Ιωάννου	NURSE	Βοηθός Νοσηλευτή
243	Ελένη	Ιωάννου	NURSE	Βοηθός Νοσηλευτή
273	Ιωάννα	Ιωάννου	NURSE	Βοηθός Νοσηλευτή
153	Ιωάννα	Ιωάννου	NURSE	Βοηθός Νοσηλευτή
213	Ιωάννα	Ιωάννου	NURSE	Βοηθός Νοσηλευτή
263	Κατερίνα	Ιωάννου	NURSE	Προϊστάμενος
143	Κατερίνα	Ιωάννου	NURSE	Προϊστάμενος
203	Κατερίνα	Ιωάννου	NURSE	Προϊστάμενος
133	Μαρία	Ιωάννου	NURSE	Νοσηλευτής
193	Μαρία	Ιωάννου	NURSE	Νοσηλευτής
253	Μαρία	Ιωάννου	NURSE	Νοσηλευτής
103	Σοφία	Ιωάννου	NURSE	Νοσηλευτής
163	Σοφία	Ιωάννου	NURSE	Νοσηλευτής
223	Σοφία	Ιωάννου	NURSE	Νοσηλευτής
125	Άννα	Κωνσταντίνου	NURSE	Προϊστάμενος
185	Άννα	Κωνσταντίνου	NURSE	Προϊστάμενος
245	Άννα	Κωνσταντίνου	NURSE	Προϊστάμενος
135	Ελένη	Κωνσταντίνου	NURSE	Βοηθός Νοσηλευτή
195	Ελένη	Κωνσταντίνου	NURSE	Βοηθός Νοσηλευτή
255	Ελένη	Κωνσταντίνου	NURSE	Βοηθός Νοσηλευτή
105	Ιωάννα	Κωνσταντίνου	NURSE	Βοηθός Νοσηλευτή
165	Ιωάννα	Κωνσταντίνου	NURSE	Βοηθός Νοσηλευτή
225	Ιωάννα	Κωνσταντίνου	NURSE	Βοηθός Νοσηλευτή
275	Κατερίνα	Κωνσταντίνου	NURSE	Προϊστάμενος
155	Κατερίνα	Κωνσταντίνου	NURSE	Προϊστάμενος
215	Κατερίνα	Κωνσταντίνου	NURSE	Προϊστάμενος
265	Μαρία	Κωνσταντίνου	NURSE	Νοσηλευτής
145	Μαρία	Κωνσταντίνου	NURSE	Νοσηλευτής
205	Μαρία	Κωνσταντίνου	NURSE	Νοσηλευτής
115	Σοφία	Κωνσταντίνου	NURSE	Νοσηλευτής
175	Σοφία	Κωνσταντίνου	NURSE	Νοσηλευτής
235	Σοφία	Κωνσταντίνου	NURSE	Νοσηλευτής
269	Άννα	Μαρίνου	NURSE	Προϊστάμενος
149	Άννα	Μαρίνου	NURSE	Προϊστάμενος
209	Άννα	Μαρίνου	NURSE	Προϊστάμενος
159	Ελένη	Μαρίνου	NURSE	Βοηθός Νοσηλευτή
219	Ελένη	Μαρίνου	NURSE	Βοηθός Νοσηλευτή
129	Ιωάννα	Μαρίνου	NURSE	Βοηθός Νοσηλευτή
249	Ιωάννα	Μαρίνου	NURSE	Βοηθός Νοσηλευτή
119	Κατερίνα	Μαρίνου	NURSE	Προϊστάμενος
179	Κατερίνα	Μαρίνου	NURSE	Προϊστάμενος
239	Κατερίνα	Μαρίνου	NURSE	Προϊστάμενος
109	Μαρία	Μαρίνου	NURSE	Νοσηλευτής
169	Μαρία	Μαρίνου	NURSE	Νοσηλευτής
229	Μαρία	Μαρίνου	NURSE	Νοσηλευτής
259	Σοφία	Μαρίνου	NURSE	Νοσηλευτής
139	Σοφία	Μαρίνου	NURSE	Νοσηλευτής
199	Σοφία	Μαρίνου	NURSE	Νοσηλευτής
262	Αλέξανδρος	Νικολάου	NURSE	Νοσηλευτής
142	Αλέξανδρος	Νικολάου	NURSE	Νοσηλευτής
202	Αλέξανδρος	Νικολάου	NURSE	Νοσηλευτής
132	Γιώργος	Νικολάου	NURSE	Βοηθός Νοσηλευτή
192	Γιώργος	Νικολάου	NURSE	Βοηθός Νοσηλευτή
252	Γιώργος	Νικολάου	NURSE	Βοηθός Νοσηλευτή
272	Δημήτρης	Νικολάου	NURSE	Προϊστάμενος
152	Δημήτρης	Νικολάου	NURSE	Προϊστάμενος
212	Δημήτρης	Νικολάου	NURSE	Προϊστάμενος
112	Κώστας	Νικολάου	NURSE	Νοσηλευτής
172	Κώστας	Νικολάου	NURSE	Νοσηλευτής
232	Κώστας	Νικολάου	NURSE	Νοσηλευτής
122	Νίκος	Νικολάου	NURSE	Προϊστάμενος
182	Νίκος	Νικολάου	NURSE	Προϊστάμενος
242	Νίκος	Νικολάου	NURSE	Προϊστάμενος
102	Πέτρος	Νικολάου	NURSE	Βοηθός Νοσηλευτή
162	Πέτρος	Νικολάου	NURSE	Βοηθός Νοσηλευτή
222	Πέτρος	Νικολάου	NURSE	Βοηθός Νοσηλευτή
257	Άννα	Παναγιώτου	NURSE	Προϊστάμενος
137	Άννα	Παναγιώτου	NURSE	Προϊστάμενος
197	Άννα	Παναγιώτου	NURSE	Προϊστάμενος
267	Ελένη	Παναγιώτου	NURSE	Βοηθός Νοσηλευτή
147	Ελένη	Παναγιώτου	NURSE	Βοηθός Νοσηλευτή
207	Ελένη	Παναγιώτου	NURSE	Βοηθός Νοσηλευτή
117	Ιωάννα	Παναγιώτου	NURSE	Βοηθός Νοσηλευτή
177	Ιωάννα	Παναγιώτου	NURSE	Βοηθός Νοσηλευτή
237	Ιωάννα	Παναγιώτου	NURSE	Βοηθός Νοσηλευτή
107	Κατερίνα	Παναγιώτου	NURSE	Προϊστάμενος
167	Κατερίνα	Παναγιώτου	NURSE	Προϊστάμενος
227	Κατερίνα	Παναγιώτου	NURSE	Προϊστάμενος
157	Μαρία	Παναγιώτου	NURSE	Νοσηλευτής
217	Μαρία	Παναγιώτου	NURSE	Νοσηλευτής
127	Σοφία	Παναγιώτου	NURSE	Νοσηλευτής
247	Σοφία	Παναγιώτου	NURSE	Νοσηλευτής
130	Αλέξανδρος	Παπαδόπουλος	NURSE	Νοσηλευτής
250	Αλέξανδρος	Παπαδόπουλος	NURSE	Νοσηλευτής
120	Γιώργος	Παπαδόπουλος	NURSE	Βοηθός Νοσηλευτή
180	Γιώργος	Παπαδόπουλος	NURSE	Βοηθός Νοσηλευτή
240	Γιώργος	Παπαδόπουλος	NURSE	Βοηθός Νοσηλευτή
260	Δημήτρης	Παπαδόπουλος	NURSE	Προϊστάμενος
140	Δημήτρης	Παπαδόπουλος	NURSE	Προϊστάμενος
200	Δημήτρης	Παπαδόπουλος	NURSE	Προϊστάμενος
160	Κώστας	Παπαδόπουλος	NURSE	Νοσηλευτής
220	Κώστας	Παπαδόπουλος	NURSE	Νοσηλευτής
110	Νίκος	Παπαδόπουλος	NURSE	Προϊστάμενος
170	Νίκος	Παπαδόπουλος	NURSE	Προϊστάμενος
230	Νίκος	Παπαδόπουλος	NURSE	Προϊστάμενος
270	Πέτρος	Παπαδόπουλος	NURSE	Βοηθός Νοσηλευτή
150	Πέτρος	Παπαδόπουλος	NURSE	Βοηθός Νοσηλευτή
210	Πέτρος	Παπαδόπουλος	NURSE	Βοηθός Νοσηλευτή
