doctor_id	doctor_first_name	doctor_last_name	hierarchy_level	supervisor_id	supervisor_first_name	supervisor_last_name	supervisor_rank
81	Ιωάννα	Γεωργίου	1	21	Ιωάννα	Γεωργίου	Επιμελητής Α
81	Ιωάννα	Γεωργίου	2	6	Πέτρος	Αθανασίου	Διευθυντής
82	Αλέξανδρος	Νικολάου	1	22	Αλέξανδρος	Νικολάου	Επιμελητής Α
82	Αλέξανδρος	Νικολάου	2	7	Σοφία	Παναγιώτου	Διευθυντής
83	Κατερίνα	Ιωάννου	1	23	Κατερίνα	Ιωάννου	Επιμελητής Α
83	Κατερίνα	Ιωάννου	2	8	Δημήτρης	Αλεξίου	Διευθυντής
84	Γιώργος	Δημητρίου	1	24	Γιώργος	Δημητρίου	Επιμελητής Α
84	Γιώργος	Δημητρίου	2	9	Ιωάννα	Μαρίνου	Διευθυντής
85	Μαρία	Κωνσταντίνου	1	25	Μαρία	Κωνσταντίνου	Επιμελητής Α
85	Μαρία	Κωνσταντίνου	2	10	Αλέξανδρος	Παπαδόπουλος	Διευθυντής
86	Νίκος	Αθανασίου	1	26	Νίκος	Αθανασίου	Επιμελητής Α
86	Νίκος	Αθανασίου	2	11	Κατερίνα	Γεωργίου	Διευθυντής
87	Ελένη	Παναγιώτου	1	27	Ελένη	Παναγιώτου	Επιμελητής Α
87	Ελένη	Παναγιώτου	2	12	Γιώργος	Νικολάου	Διευθυντής
88	Κώστας	Αλεξίου	1	28	Κώστας	Αλεξίου	Επιμελητής Α
88	Κώστας	Αλεξίου	2	13	Μαρία	Ιωάννου	Διευθυντής
89	Άννα	Μαρίνου	1	29	Άννα	Μαρίνου	Επιμελητής Α
89	Άννα	Μαρίνου	2	14	Νίκος	Δημητρίου	Διευθυντής
90	Πέτρος	Παπαδόπουλος	1	30	Πέτρος	Παπαδόπουλος	Επιμελητής Α
90	Πέτρος	Παπαδόπουλος	2	15	Ελένη	Κωνσταντίνου	Διευθυντής
91	Σοφία	Γεωργίου	1	31	Σοφία	Γεωργίου	Επιμελητής Α
91	Σοφία	Γεωργίου	2	1	Μαρία	Γεωργίου	Διευθυντής
92	Δημήτρης	Νικολάου	1	32	Δημήτρης	Νικολάου	Επιμελητής Α
92	Δημήτρης	Νικολάου	2	2	Νίκος	Νικολάου	Διευθυντής
93	Ιωάννα	Ιωάννου	1	33	Ιωάννα	Ιωάννου	Επιμελητής Α
93	Ιωάννα	Ιωάννου	2	3	Ελένη	Ιωάννου	Διευθυντής
94	Αλέξανδρος	Δημητρίου	1	34	Αλέξανδρος	Δημητρίου	Επιμελητής Α
94	Αλέξανδρος	Δημητρίου	2	4	Κώστας	Δημητρίου	Διευθυντής
95	Κατερίνα	Κωνσταντίνου	1	35	Κατερίνα	Κωνσταντίνου	Επιμελητής Α
95	Κατερίνα	Κωνσταντίνου	2	5	Άννα	Κωνσταντίνου	Διευθυντής
